seqN,TreeNo,DeathAge,x,y,z,Year,Age,H,HB,GB,G0.1H,G0,G0.3,G1.3,G2.3,G3.3,G4.3,G5.3,G6.3,G7.3,G8.3,G9.3,G10.3,G11.3,G12.3,G13.3,G14.3,G15.3,G16.3,Vs
1,1,100,2.83,15.82674169,14.5,1977,21,6.9,2.02,23.6,27,40.6,29.5,25.1,23,18.4,14.3,9.9,4.7,0,0,0,0,0,0,0,0,0,0,20.92
2,2,100,1.5,15.40757304,14.33,1977,21,8.1,2.84,28.6,35.2,44.8,37.3,33,31.4,26.4,21.7,15.2,11.1,7.3,0,0,0,0,0,0,0,0,0,38.54
3,3,100,0.5,14.16899384,13.4,1977,21,7.8,3.15,22.5,28.2,43.2,30.3,27,24.2,21.4,18.3,14.2,6.7,2.2,0,0,0,0,0,0,0,0,0,25.73
4,4,32,1.5,14.34538781,13.45,1977,21,6.2,2.95,15,21.4,26.2,23,19.7,16.8,14,10.2,5.2,0,0,0,0,0,0,0,0,0,0,0,11.45
5,5,32,2.5,15.05686758,14,1977,21,4.05,1.9,9.6,15.5,23.9,16.2,11.4,8.4,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74
6,6,100,3.83,15.73958595,14.3,1977,21,6.78,1.55,25.1,26.6,35.5,31.1,25.7,22.4,17.8,12.5,6.9,2.8,0,0,0,0,0,0,0,0,0,0,19.94
7,7,100,4.5,15.14610581,13.7,1977,21,6.53,2.15,21,24.8,32.4,27.7,23.3,19.9,16,11.5,5.9,1.8,0,0,0,0,0,0,0,0,0,0,16.07
8,8,100,5.83,15.56527447,13.85,1977,21,6.9,2.95,18.4,25.1,34,28.2,24,21.2,16.9,12,7.4,2.5,0,0,0,0,0,0,0,0,0,0,17.54
9,9,100,7.83,15.39096298,13.6,1977,21,8.3,2.97,25.3,30.9,49.5,32.9,29.7,27.4,24.3,20.6,15.6,7.4,3.7,0,0,0,0,0,0,0,0,0,32.07
10,10,40,9.17,15.537724,13.3,1977,21,6.1,3.2,13,19.5,34.1,21.1,18,15.1,13,9.8,4.4,0,0,0,0,0,0,0,0,0,0,0,10.31
11,11,100,10.83,15.12949575,12.25,1977,21,7.6,3.26,18.7,26.3,38.2,28.5,23.9,21.2,18.6,14.8,10.8,6.4,1.2,0,0,0,0,0,0,0,0,0,19.82
12,12,32,11.5,15.0711014,12.1,1977,21,6.73,3.88,14.4,20.5,24.2,21.4,19.1,17.1,16,13.3,10.2,3.6,0,0,0,0,0,0,0,0,0,0,12.64
13,13,100,11.5,13.7373801,10.9,1977,21,9.1,4.2,20,27.5,49.4,28.6,25.7,23.6,21.5,19,15.7,12.4,9.6,4.3,0,0,0,0,0,0,0,0,27.41
14,14,28,10.5,13.82453585,11.3,1977,21,5.3,2.65,10.1,13.4,20.6,13.8,12.3,10.9,8.7,4.3,0,0,0,0,0,0,0,0,0,0,0,0,4.39
15,15,35,9.5,14.44677738,12.15,1977,21,6.6,3.36,14.6,20.6,26.5,22.5,19.7,17.6,14.8,11.7,6.1,0.8,0,0,0,0,0,0,0,0,0,0,12.14
16,16,26,9.17,14.47553877,12.25,1977,21,3.9,2.47,5.7,9.8,12.8,10.1,8.2,6.3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61
17,17,100,6.83,14.14439742,12.45,1977,21,7.7,3.17,19.4,26.3,42.4,27.4,24.4,21.9,18.6,15.2,10.8,5.6,1.6,0,0,0,0,0,0,0,0,0,20.37
18,18,100,4.5,14.3474703,13,1977,21,6,2.47,14.9,19.5,26.1,20.1,17.9,15.5,12.2,7.3,2.8,0,0,0,0,0,0,0,0,0,0,0,9.02
19,19,27,3.5,13.63599053,12.5,1977,21,5.34,2.62,9.8,15,22.9,18.1,13.3,10.2,7.8,3.3,0.1,0,0,0,0,0,0,0,0,0,0,0,5.13
20,20,100,2.5,13.45959656,12.5,1977,21,7.3,3.28,22.7,26.7,35.7,28.4,26,24,22.7,16.4,9.8,4.9,0,0,0,0,0,0,0,0,0,0,22.85
21,21,100,1.5,13.5467523,12.7,1977,21,7.81,4.07,17.8,27.2,38.2,28.8,25,22.7,19.7,16.7,12.4,6.9,2.3,0,0,0,0,0,0,0,0,0,22.04
22,22,100,0.17,13.39911972,12.85,1977,21,8.5,3.48,24.2,33,57.3,36,31.2,28.7,24.8,21.3,16.1,10.5,5.7,1,0,0,0,0,0,0,0,0,36.63
23,23,34,0.17,12.32894814,12.05,1977,21,8.5,2.4,30.6,33.5,54.1,40.7,32.3,29.5,26.7,22.8,17.2,11.7,6.7,1.1,0,0,0,0,0,0,0,0,40.91
24,24,100,1.5,12.213031,11.6,1977,21,7.87,3.15,22.8,27.4,46.3,30,26,24.2,21.8,19.2,13.4,8.2,3,0,0,0,0,0,0,0,0,0,25.98
25,25,100,2.5,12.66096105,11.7,1977,21,8,3.74,19,28.3,42.6,30.8,27.3,24.3,20.8,16.8,12.3,7.8,2.2,0,0,0,0,0,0,0,0,0,25.11
